Fuel_kg,Arm_m,Moment
,,
0.0,5.07,0.0
10.0,5.07,50.7
20.0,5.075,101.5
30.0,5.0781,152.343
40.0,5.0808,203.232
50.0,5.0835,254.17499999999998
60.0,5.0862,305.17199999999997
70.0,5.0889,356.22299999999996
74.5,5.09,379.205
80.0,5.0894,407.15200000000004
90.0,5.0881,457.929
100.0,5.0868,508.68
110.0,5.0855,559.405
120.0,5.0842,610.104
130.0,5.0829,660.777
140.0,5.0816,711.424
150.0,5.0803,762.0450000000001
154.5,5.08,784.86
160.0,5.08,812.8
170.0,5.08,863.6
180.0,5.08,914.4
190.0,5.08,965.2
200.0,5.08,1016.0
210.0,5.08,1066.8
220.0,5.08,1117.6
230.0,5.08,1168.4
234.5,5.08,1191.26
240.0,5.08,1219.2
250.0,5.08,1270.0
260.0,5.08,1320.8
270.0,5.08,1371.6
280.0,5.08,1422.4
290.0,5.08,1473.2
300.0,5.08,1524.0
310.0,5.08,1574.8
314.5,5.08,1597.66
320.0,5.079,1625.28
330.0,5.0765,1675.2450000000001
340.0,5.074,1725.1599999999999
350.0,5.0715,1775.025
360.0,5.069,1824.84
370.0,5.0665,1874.6049999999998
380.0,5.064,1924.32
390.0,5.0615,1973.985
394.5,5.06,1996.1699999999998
400.0,5.0446,2017.84
410.0,5.0159,2056.5190000000002
420.0,4.9871,2094.582
430.0,4.9584,2132.112
440.0,4.9296,2169.024
450.0,4.9009,2205.405
460.0,4.8721,2241.1659999999997
470.0,4.8434,2276.398
474.5,4.83,2291.835
480.0,4.82,2313.6000000000004
490.0,4.8,2352.0
500.0,4.78,2390.0
510.0,4.76,2427.6
520.0,4.74,2464.8
530.0,4.72,2501.6
540.0,4.7,2538.0
550.0,4.68,2574.0
554.5,4.67,2589.515
560.0,4.6652,2612.5119999999997
570.0,4.6565,2654.2050000000004
580.0,4.6478,2695.724
590.0,4.639,2737.01
600.0,4.6303,2778.18
610.0,4.6215,2819.1150000000002
620.0,4.6128,2859.936
630.0,4.6041,2900.583
634.5,4.6,2918.7
640.0,4.6069,2948.416
650.0,4.6206,3003.39
660.0,4.6344,3058.704
670.0,4.6481,3114.2270000000003
680.0,4.6619,3170.092
690.0,4.6756,3226.164
700.0,4.6894,3282.58
710.0,4.7031,3339.201
714.5,4.71,3365.295
720.0,4.7213,3399.3360000000002
730.0,4.744,3463.12
740.0,4.7668,3527.432
750.0,4.7895,3592.1250000000005
760.0,4.8123,3657.3479999999995
770.0,4.835,3722.95
780.0,4.8578,3789.0840000000003
790.0,4.8805,3855.595
794.5,4.89,3885.1049999999996
800.0,4.9009,3920.7200000000003
810.0,4.9207,3985.7670000000003
820.0,4.9404,4051.128
830.0,4.9602,4116.966
840.0,4.98,4183.200000000001
850.0,4.9998,4249.83
860.0,5.0196,4316.856
870.0,5.0393,4384.191
875.5,5.05,4421.275
880.0,5.0561,4449.3679999999995
890.0,5.0713,4513.457
900.0,5.0865,4577.85
910.0,5.1017,4642.5470000000005
920.0,5.1169,4707.548
930.0,5.1321,4772.853
940.0,5.1473,4838.462
950.0,5.1625,4904.375
954.5,5.17,4934.765
960.0,5.1779,4970.784000000001
970.0,5.1916,5035.852
980.0,5.2054,5101.292
990.0,5.2191,5166.909
1000.0,5.2329,5232.9
1010.0,5.2466,5299.066
1020.0,5.2604,5365.608
1030.0,5.2741,5432.322999999999
1034.5,5.28,5462.16
1040.0,5.2862,5497.648
1050.0,5.2986,5563.530000000001
1060.0,5.311,5629.66
1070.0,5.3233,5695.931
1080.0,5.3357,5762.5560000000005
1090.0,5.3481,5829.428999999999
1100.0,5.3604,5896.4400000000005
1110.0,5.3728,5963.808
1115.5,5.38,6001.39
1120.0,5.3844,6030.528
1130.0,5.3956,6097.028
1140.0,5.4067,6163.638
1150.0,5.4178,6230.469999999999
1151.5,5.42,6241.13
